FECHA_CORTE,DEPENDENCIA,ACTIVIDAD,FTE_FTO,TIPO_INGRESO,META,PROHIBIDA,TIPO_GASTO,RUBRO,PARTIDA_GASTO,NOMBRE,PIM,CERTIFICADO,EJECUCION
20230525,BP ALTO MAYO,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,DyT,CI,157,PLANILLA,CAS,CAS,2.3.2.8.1.2,CONTRIBUCIONES A ESSALUD DE C.A.S.,"45,684.00","45,684.00","13,690.00"
20230525,BP PUI PUI,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,DyT,PdP,280,EST?NDAR,GO,ALIMENTOS,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,"11,400.00","11,400.00","7,400.00"
20230525,DGANP,OTORGAMIENTO Y RENOVACION DE DERECHOS PARA EL APROVECHAMIENTO DE RECURSOS RENOVABLES EN AREAS NATURALES PROTEGIDAS,DyT,KFW,170,PROH. MANT,GO,PROH. MANT INFR.,2.3.1.6.1.4,DE SEGURIDAD,"10,944.00",0.00,0.00
20230525,DGANP,OTORGAMIENTO Y RENOVACION DE DERECHOS PARA EL APROVECHAMIENTO DEL RECURSO PAISAJE EN AREAS NATURALES PROTEGIDAS,DyT,KFW,176,PROH. SERV. VARIOS,GO,PROH. SERV.  PUBLIC/PERS NAT. Y JUR.,2.3.2.7.1.1,CONSULTORIAS,"161,500.00",0.00,0.00
20230525,PN ALTO PURUS,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,DyT,PdP,164,PLANILLA,CAS,CAS,2.3.2.8.1.1,CONTRATO ADMINISTRATIVO DE SERVICIOS,"45,300.00","45,300.00","7,396.34"
20230525,PN BAHUAJA SONENE,GESTION DEL PROGRAMA,DyT,PdP,287,PROHIBIDA SERV BAS,GO,PROH. SERV. BASICO,2.3.2.2.2.3,SERVICIO DE INTERNET,"2,808.00","2,808.00","2,292.01"
20230525,PN CERROS DE AMOTAPE,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,RO,SERNANP,162,EST?NDAR,GO,ALIMENTOS,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,"50,400.00","24,975.00","19,575.00"
20230525,PN HUASCARAN,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,RO,SERNANP,98,EST?NDAR,GO,ASEO Y LIMPIEZA,2.3.1.5.3.1,"ASEO, LIMPIEZA Y TOCADOR",336.00,132.00,70.00
20230525,PN OTISHI,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,RO,SERNANP,122,EST?NDAR,GO,LUBRICANTES,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES",400.00,400.00,399.00
20230525,RC EL SIRA,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,DyT,KFW,115,EST?NDAR,GO,GO,2.3.1.5.2.1,"AGROPECUARIO, GANADERO Y DE JARDINERIA",400.00,400.00,400.00
20230525,RC MACHIGUENGA,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,RO,SERNANP,112,EST?NDAR,GO,GO,2.3.1.7.1.1,ENSERES,"1,917.00",0.00,0.00
20230525,RC PURUS,GESTION DEL PROGRAMA,RO,SERNANP,85,PROHIBIDA SERV BAS,GO,PROH. SERV. BASICO,2.3.2.2.1.1,SERVICIO DE SUMINISTRO DE ENERGIA ELECTRICA,910.00,496.00,345.10
20230525,RN ALLPAHUAYO MISHANA,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,DyT,KFW,135,PROH. SERV. VARIOS,GO,PROH. SERV.  PUBLIC/PERS NAT. Y JUR.,2.3.2.7.11.99,SERVICIOS DIVERSOS,400.00,200.00,100.00
20230525,RN MATSES,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,DyT,KFW,143,EST?NDAR,GO,GO,2.3.1.5.2.1,"AGROPECUARIO, GANADERO Y DE JARDINERIA","1,000.00","1,000.00",998.50
20230525,RP NOR YAUYOS COCHAS,GESTION DEL PROGRAMA,RO,SERNANP,55,EST?NDAR,GO,SERV. SEG. Y VIG.,2.3.2.3.1.2,SERVICIOS DE SEGURIDAD Y VIGILANCIA,"45,060.00","19,200.00","14,400.00"
20230525,SN CALIPUY,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,RO,SERNANP,124,EST?NDAR,GO,BOLETOS / ADQ. BIENES IMPR.,2.3.1.99.1.3,"LIBROS, DIARIOS, REVISTAS Y OTROS BIENES IMPRESOS NO VINCULADOS A ENSE?ANZA",170.00,170.00,0.00
20230525,SN TABACONAS NAMBALLE,GESTION DEL PROGRAMA,RO,SERNANP,19,PLANILLA,D.L. 728,D.L. 728,2.1.1.9.1.3,BONIFICACION POR ESCOLARIDAD,400.00,400.00,400.00
20230525,ZR SANTIAGO COMAINA,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,RO,SERNANP,94,EST?NDAR,GO,LUBRICANTES,2.3.1.3.1.3,"LUBRICANTES, GRASAS Y AFINES","4,540.00","2,130.00","1,775.00"
20230525,SH CHACAMARCA,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,DyT,CIMA,120,PLANILLA,CAS,CAS,2.3.2.8.1.2,CONTRIBUCIONES A ESSALUD DE C.A.S.,"1,782.00","1,782.00",0.00
20230525,BP ALTO MAYO,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,DyT,CI,157,EST?NDAR,GO,GO,2.3.1.99.1.99,OTROS BIENES,"3,600.00","3,600.00","3,600.00"
20230525,BP PUI PUI,INSTRUMENTOS DE PLANIFICACION Y DESARROLLO EN AREAS NATURALES PROTEGIDAS ELABORADOS,DyT,PdP,302,EST?NDAR,GO,UTILES DE ESCRIT.,2.3.1.5.1.2,"PAPELERIA EN GENERAL, UTILES Y MATERIALES DE OFICINA","1,500.00","1,500.00","1,500.00"
20230525,CC EL ANGOLO,GESTION DEL PROGRAMA,RO,SERNANP,74,EST?NDAR,GO,ASEO Y LIMPIEZA,2.3.1.5.3.1,"ASEO, LIMPIEZA Y TOCADOR",600.00,300.00,200.00
20230525,JEFATURA,CONDUCCION Y ORIENTACION SUPERIOR,RO,SERNANP,211,EST?NDAR,GO,UTILES DE ESCRIT.,2.3.1.5.1.2,"PAPELERIA EN GENERAL, UTILES Y MATERIALES DE OFICINA",63.00,63.00,63.00
20230525,OA - RRHH,GESTION ADMINISTRATIVA,DyT,PdP,307,PLANILLA,CAS,CAS,2.3.2.8.1.2,CONTRIBUCIONES A ESSALUD DE C.A.S.,802.00,802.00,400.96
20230525,OA - UNIDADES OPERATIVAS,GESTION DEL PROGRAMA,DyT,PdP,50,EST?NDAR,GO,GO,2.3.2.2.3.1,CORREOS Y SERVICIOS DE MENSAJERIA,"1,885.00","1,885.00","1,231.49"
20230525,OA - UNIDADES OPERATIVAS,GESTION DEL PROGRAMA,DyT,KFW,46,PLANILLA,CAS,CAS,2.3.2.8.1.5,VACACIONES TRUNCAS DE C.A.S.,"2,028.00","2,028.00","2,028.00"
20230525,PN RIO ABISEO,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,RO,SERNANP,158,EST?NDAR,GO,ALIMENTOS,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,"54,000.00","27,000.00","22,500.00"
20230525,PN RIO ABISEO,DESARROLLO DE ESPACIOS PARTICIPATIVOS PARA LA CONSERVACION DE LOS RECURSOS NATURALES,DyT,PdP,326,EST?NDAR,GO,VIATICOS,2.3.2.1.2.2,VIATICOS Y ASIGNACIONES POR COMISION DE SERVICIO,"5,320.00","5,320.00","3,800.00"
20230525,PN YANACHAGA CHEMILLEN,GESTION DEL PROGRAMA,RO,SERNANP,71,PLANILLA,CAS,CAS,2.3.2.8.1.1,CONTRATO ADMINISTRATIVO DE SERVICIOS,"276,045.00","276,045.00","119,433.21"
20230525,RC AMARAKAERI,SEGUIMIENTO Y EVALUACION DEL PROGRAMA,DyT,PdP,342,EST?NDAR,GO,GO,2.3.1.5.99.99,OTROS,450.00,0.00,0.00
20230525,RC HUIMEKI,DESARROLLO DE ESPACIOS PARTICIPATIVOS PARA LA CONSERVACION DE LOS RECURSOS NATURALES,DyT,PdP,354,PROH. SERV. VARIOS,GO,PROH. SERV.  PUBLIC/PERS NAT. Y JUR.,2.3.2.7.11.99,SERVICIOS DIVERSOS,"1,620.00","1,620.00","1,620.00"
20230525,RC HUIMEKI,DESARROLLO DE ESPACIOS PARTICIPATIVOS PARA LA CONSERVACION DE LOS RECURSOS NATURALES,DyT,PdP,354,EST?NDAR,GO,COMBUSTIBLE,2.3.1.3.1.1,COMBUSTIBLES Y CARBURANTES,"2,000.00","2,000.00","2,000.00"
20230525,RN LACHAY,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,RO,SERNANP,133,PLANILLA,CAS,CAS,2.3.2.8.1.1,CONTRATO ADMINISTRATIVO DE SERVICIOS,"84,315.00","84,315.00","37,783.80"
20230525,RN PACAYA SAMIRIA,GESTION DEL PROGRAMA,DyT,FIDEICOMISO,413,EST?NDAR,GO,ALIMENTOS,2.3.1.1.1.1,ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO,662.00,662.00,400.00
20230525,RN PACAYA SAMIRIA,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,DyT,KFW,141,EST?NDAR,GO,GASES,2.3.1.3.1.2,GASES,"13,200.00","5,280.00","3,854.00"
20230525,RN PACAYA SAMIRIA,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,DyT,FIDEICOMISO,415,PROH. MANT,GO,PROH. MANT VEH.,2.3.1.6.1.1,DE VEHICULOS,271.00,271.00,0.00
20230525,"RN SISTEMA DE ISLAS, ISLOTES Y PUNTAS GUANERAS",GESTION DEL PROGRAMA,RO,SERNANP,53,EST?NDAR,GO,SOAT,2.3.2.6.3.3,SEGURO OBLIGATORIO ACCIDENTES DE TRANSITO (SOAT),"1,690.00","1,500.00","1,350.00"
20230525,SN AMPAY,OPERACION Y MANTENIMIENTO DE INFRAESTRUCTURA,RO,SERNANP,251,EST?NDAR,GO,SERV. DIVERSOS,2.3.2.7.11.2,"TRANSPORTE Y TRASLADO DE CARGA, BIENES Y MATERIALES","5,900.00",0.00,0.00
20230525,SN PAMPA HERMOSA,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,DyT,PdP,119,EST?NDAR,GO,GO,2.3.1.99.1.1,HERRAMIENTAS,"3,300.00","3,300.00","3,292.80"
20230525,BP ALTO MAYO,VIGILANCIA  Y CONTROL PARA LA PROTECCION DE AREAS NATURALES,DyT,CI,157,EST?NDAR,GO,GO,2.3.1.5.2.1,"AGROPECUARIO, GANADERO Y DE JARDINERIA",200.00,200.00,200.00
