REGI?N,PROVINCIA,DISTRITO,CODIGO DEL RECURSO,NOMBRE DEL RECURSO,CATEGOR?A,TIPO DE CATEGOR?A,SUB TIPO CATEGOR?A,URL,LATITUD,LONGITUD,FECHA_DE_CORTE
Tacna,Candarave,CANDARAVE,496,Volc?n Yucamani,1. SITIOS NATURALES,a. Monta?as,Volcanes,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=496,-70.19888862,-17.18250082,20241201
Ayacucho,Lucanas,SAN PEDRO,13066,Zona Arqueologica De Chillwamarka - ?aupallaccta,2. MANIFESTACIONES CULTURALES,Sitios Arqueol?gicos,Ciudadelas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=13066,-74.10259,-14.791962,20241201
Lima,Lima,LIMA,3348,Plaza Mayor De Lima,2. MANIFESTACIONES CULTURALES,Lugares Hist?ricos,Plaza,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=3348,-77.03060082,-12.04594748,20241201
Cajamarca,San Ignacio,SAN JOS? DE LOURDES,4396,Chorrera De Los Peroles Negros,1. SITIOS NATURALES,j. Ca?das de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4396,-78.890552,-5.102113,20241201
Puno,Azangaro,ARAPA,5028,Laguna De Arapa,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=5028,-69.99458313,-15.17420475,20241201
Puno,Puno,PUNO,11999,Plaza Mayor De Puno,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Plazas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11999,-70.02826953,-15.84077535,20241201
Puno,Lampa,LAMPA,11805,Arquer?as De Sillar,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11805,-70.36325649,-15.37310468,20241201
Jun?n,Huancayo,SAPALLANGA,6951,Danza Los Camilles De Sapallanga,3. FOLCLORE,M?sicas y Danzas,M?sica y Danzas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6951,-75.16,-12.1404,20241201
Ica,Pisco,SAN ANDR?S,8073,Pisco Playa,1. SITIOS NATURALES,l. Costas,Playas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=8073,-76.220694,-13.716093,20241201
Apurimac,Andahuaylas,SAN JER?NIMO,8217,Templo De San Jer?nimo,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Templo,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=8217,-73.36492896,-13.65104336,20241201
