NombreServicioTuristico,ClasificacionId,Clasificacion,CategoriaId,Categoria,SubCategoriaId,SubCategoria,Direccion,CorreoElectronico,SitioWeb,Telefono,CodDepartamento,CodProvincia,CodDistrito,NombreDepartamento,NombreProvincia,NombreDistrito,Ruc,Siglas,NombreEmpresa,FechaRegistroDatosEmpresa,FechaActualizacionDatosEmpresa
Illari Confort,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220103,Hostales,22010302,Hs.2 Estrellas,Jr. Per? s/n,illariinformes@gmail.com,"",985654604 / 985654602,19,1,6,Pasco,Pasco,Pallanchacra,20529290676,Illari Confort,Illari Confort Sociedad An?nima Cerrada,6/11/2019,7/10/2024
R18,2202,ALIMENTOS Y BEBIDAS,220216,Restaurant & Bar,220216,Restaurant & Bar,Jr. Ica 143,administracion@r18caferestaurante.pe,https://r18caferestaurante.pe/,(01) 550 - 6256 / 933050425,15,1,1,Lima,Lima,Cercado de Lima,20605870245,R18,R18 Gastron?mico S.R.L.,18/12/2023,10/10/2024
Albergue Maria Egg,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220104,Albergue,220104,Albergue,Av. Los Colonos  S/N,alberguemariaegg@gmail.com,www.pozuzo.com,"957392888 / +1 7039661044(n?mero de reserva - Solo mensajer?a whatsApp, n?mero manejado desde el extranjero)",19,3,5,Pasco,Oxapampa,Pozuzo,10407955086,Albergue Maria Egg,Zevallos Egg Johanny,15/03/2005,19/10/2024
Hospital I Luis Albrecht,2208,SALUD,220801,Hospitales,220801,Hospitales,"Av. Jes?s de Nazareth S/N, Trujillo 13011",consultas.viva@essalud.gob.pe,https://www.gob.pe/essalud,044 - 224048 / 044 ? 224029,13,1,1,La Libertad,Trujillo,Trujillo,20131257750,Hospital I Luis Albrecht,Seguro Social de Salud,21/10/2024,21/10/2024
Yeyos,2202,ALIMENTOS Y BEBIDAS,220216,Restaurant & Bar,220216,Restaurant & Bar,AV. AMERICA SUR NRO. 2175 URB. SANTA MARIA ET. 3,yeyosrestaurant@gmail.com,.,955 178 501,13,1,1,La Libertad,Trujillo,Trujillo,20609615614,Yeyos,Gastronomia y Diversion Yeyos E.I.R.L.,22/10/2024,22/10/2024
Los Rosales de Pucallpa Restaurante,2202,ALIMENTOS Y BEBIDAS,220213,Restaurante 2 Tenedores,220213,Restaurante 2 Tenedores,Jr. Mariscal C?ceres 389,grupocontableelroble@gmail.com,-,(061) 571246,25,1,1,Ucayali,Coronel Portillo,Caller?a,20393989581,Los Rosales de Pucallpa Restaurante,Los Rosales De Pucallpa Restaurant S.A.C.,26/09/2005,9/10/2024
Samatours,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. San Mart?n 321,reservas@samatoursperu.com,www.samatoursperu.com,952872122 /952872125,23,1,1,Tacna,Tacna,Tacna,20449288689,Samatours,Samatours S.R.L.,3/08/2007,17/10/2024
Vacahouse Huaraz B&B,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Jr. Ram?n Mej?a 716 (Parque FAP),vacahouse2016@gmail.com,"",937755122,2,1,1,?ncash,Huaraz,Huaraz,10455130188,Vacahouse Huaraz B&B,Chauca Figueroa Vidal Fernando,12/09/2019,10/10/2024
Restaurant La Caba?a de Cesar,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Av. Faustino Piaggio 123 - B playa,carrillocesar798@gmail.com,"",(+51) 978557318,24,2,1,Tumbes,Contralmirante Villar,Zorritos,10038873143,Restaurant La Caba?a de Cesar,Carrillo Cruz Cesar,22/06/2022,1/10/2024
Transportes Flor Del Caf?,2203,TRANSPORTE,220301,Terrestre,22030101,Transporte Terrestre Nacional,Terminal Terrestre  ?El Bosque? - Av. Guardia Civil s/n,laflordelcafe123@gmail.com,"",971222683,20,1,4,Piura,Piura,Castilla,20526683871,Transportes Flor Del Caf?,La Flor Del Caf? - La Laguna E.I.R.L.,30/10/2024,30/10/2024
